날짜,염창동,등촌제1동,등촌제2동,등촌제3동,화곡본동,화곡제1동,화곡제2동,화곡제3동,화곡제4동,화곡제6동,화곡제8동,우장산동,가양제1동,가양제2동,가양제3동,발산제1동,공항동,방화제1동,방화제2동,방화제3동
2022-11-17,43,36,18,29,36,48,17,26,18,38,32,45,41,15,12,39,37,40,31,19
2022-11-18,60,34,34,29,49,20,18,15,12,11,10,40,39,39,37,26,39,22,21,20
2022-11-19,60,34,31,27,52,24,20,18,14,11,10,41,40,38,34,26,40,25,25,25
2022-11-20,32,19,19,17,27,7,7,7,6,4,3,25,24,20,19,16,25,16,10,9
2022-11-21,80,43,38,34,69,28,26,24,22,19,17,65,61,55,48,34,63,34,32,31
2022-11-22,83,47,46,38,71,29,22,21,20,17,12,64,54,52,47,34,61,34,32,31
2022-11-23,68,39,37,34,63,27,27,24,20,17,14,54,54,43,39,34,54,32,29,29
2022-11-24,75,40,33,32,58,22,20,17,13,12,12,58,53,48,41,31,55,28,27,26
2022-11-25,52,39,34,32,50,24,22,18,15,15,15,46,44,43,40,30,44,26,26,25
2022-11-26,61,35,34,31,59,23,20,20,18,14,7,58,48,42,41,28,53,25,25,23
2022-11-27,31,15,14,14,31,8,8,4,4,3,3,27,21,20,17,12,23,11,10,10
2022-11-28,73,45,40,38,69,32,30,27,26,26,14,65,57,54,45,37,58,36,35,32
2022-11-29,91,43,42,39,65,29,25,23,18,16,16,58,46,45,45,38,50,35,34,31
2022-11-30,62,29,29,27,60,22,20,15,13,13,9,59,51,37,34,27,57,25,25,24
2022-12-01,53,22,21,41,38,55,27,21,20,27,25,51,52,11,18,39,34,46,20,19
2022-12-02,49,29,23,34,34,55,25,26,12,32,20,58,44,11,16,49,30,50,17,29
2022-12-03,45,39,22,44,25,56,29,27,22,41,19,56,29,10,17,49,29,35,21,22
2022-12-04,25,13,4,17,15,22,8,9,4,6,13,16,18,0,7,14,17,16,18,8
2022-12-05,76,40,20,40,42,72,33,25,27,39,35,74,65,21,21,53,46,74,26,27
2022-12-06,90,50,38,47,48,90,22,41,27,41,38,66,59,16,24,71,36,65,31,38
2022-12-07,57,38,23,40,41,83,17,25,12,27,30,50,29,23,19,48,44,51,35,30
2022-12-08,69,36,24,49,41,67,18,39,23,46,29,68,66,15,14,61,40,53,32,18
2022-12-09,85,45,25,41,33,70,22,36,28,33,27,62,51,28,22,51,44,63,33,32
2022-12-10,61,44,26,42,56,79,20,31,20,34,35,51,54,16,24,51,49,54,29,23
2022-12-11,25,19,11,19,12,23,6,11,6,14,11,21,22,10,7,24,13,6,13,2
2022-12-12,84,52,38,49,44,84,28,36,34,38,31,88,67,20,22,71,59,66,37,26
2022-12-13,94,42,29,59,65,79,15,21,29,54,37,74,60,16,32,74,47,74,29,27
2022-12-14,60,43,27,43,61,80,19,32,26,45,33,66,77,21,20,70,52,68,24,26
2022-12-15,71,49,39,45,42,60,20,28,28,38,24,77,57,19,11,70,47,66,21,29
2022-12-16,73,35,35,43,38,83,18,34,29,36,23,74,49,12,23,50,48,68,33,28
2022-12-17,64,45,26,47,57,74,25,19,23,41,25,77,63,22,23,68,44,90,23,24
2022-12-18,32,20,13,16,15,26,6,9,4,20,18,25,11,10,11,29,18,20,10,8
2022-12-19,92,50,30,47,67,95,26,26,19,46,36,74,94,26,13,73,71,81,47,40
2022-12-20,93,55,33,62,67,105,32,35,40,42,38,103,85,30,26,68,67,79,38,43
2022-12-21,67,51,23,39,58,69,21,28,7,31,26,82,59,25,28,72,52,75,36,34
2022-12-22,67,24,29,68,47,84,30,25,30,39,42,75,78,24,12,60,67,62,27,23
2022-12-23,81,34,33,34,45,75,22,22,27,33,29,66,70,18,18,62,37,72,33,44
2022-12-24,64,37,26,46,42,78,18,26,22,34,34,63,55,17,11,61,38,67,34,43
2022-12-25,28,19,11,28,15,21,7,12,5,18,7,26,22,6,2,23,11,15,7,5
2022-12-26,76,45,28,44,58,100,21,40,35,42,45,91,101,28,24,75,53,84,37,29
2022-12-27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2022-12-28,77,33,45,49,39,95,18,38,24,41,30,59,66,29,24,54,40,65,26,19
2022-12-29,67,23,32,43,37,77,34,35,37,28,23,79,64,19,18,52,58,65,25,33
2022-12-30,64,41,37,37,40,69,19,33,25,33,24,68,42,12,15,41,46,57,29,32
2022-12-31,72,36,31,55,51,70,27,31,28,28,25,75,57,18,14,44,36,73,48,27
