기간,대형마트_비식품_가전문화,대형마트_비식품_의류,대형마트_비식품_가정생활,대형마트_비식품_스포츠,대형마트_비식품_잡화,대형마트_비식품_소계,대형마트_식품,대형마트_총계,백화점_비식품_잡화,백화점_비식품_여성정장,백화점_비식품_여성캐주얼,백화점_비식품_남성의류,백화점_비식품_아동-스포츠,백화점_비식품_가정용품,백화점_비식품_명품,백화점_비식품_소계,백화점_식품,백화점_총계,편의점_비식품_생활용품,편의점_비식품_잡화,편의점_비식품_담배_등_기타,편의점_비식품_소계,편의점_식품_음료_등_가공,편의점_식품_즉석(신선일부),편의점_식품_소계,편의점_총계,기업형수퍼마켓_비식품_일상용품,기업형수퍼마켓_비식품_생활잡화,기업형수퍼마켓_비식품_소계,기업형수퍼마켓_식품_농수축산,기업형수퍼마켓_식품_신선조리제품,기업형수퍼마켓_식품_가공식품,기업형수퍼마켓_식품_소계,기업형수퍼마켓_총계
2025-12-31,-11.5,-3.2,-15.8,-13.5,-14.9,-12.5,-8.9,-9,3.4,7,13.9,2.9,3.7,3.8,13.7,9,6.5,9.3,2.6,2.6,-0.9,-0.5,2.9,2.8,2.9,1.4,-7.4,-2.3,-4.5,0.3,-0.3,-3.1,-1,-1.3
2026-01-31,-23.8,-5.8,-20.4,-16.1,-11.7,-19.6,-19.6,-18.8,7.3,21.1,17,11.6,8,11.6,31,19.7,-18.8,13.4,2.6,-5.8,-0.9,-0.8,1.4,5.8,2.1,0.8,-12,-4.5,-7.7,-4.1,-1.1,-6.5,-4.2,-4.4
